title,original location,current location,creation date,description,language,item type,subject,material,dimensions,format,rights,duration,objectid,filename,type 
Chess piece,"Uig, Scotland",The British Museum,12th century (circa 1150-1199),Chess piece in the shape of a bearded man wearing a pointed hat and carrying a sword and shield.,-,Toy,games ; leisure,Ivory,3.9 cm x 8.7 cm,.JPG,© The Trustees of the British Museum. Shared under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) licence.,-,britleis01,chess.jpg,image/jpeg
Ellesmere manuscript page,"Ellesemere, England",The Huntington Library,15th century (circa 1400-1410),"Manuscript page from the Ellesmere Chaucer, which contains The Canterbury Tales.","English, Middle",Manuscript page,storytelling; manuscripts ; art ; leisure,Parchment,28.4 cm x 40 cm,.JPG,"Canterbury Tales, 1400-1410, HM mssEL 26 C 9, © The Huntington Library, San Marino, California.",-,britleis02,chaucer.jpg,image/jpeg
Cross pendant,"Tullyallen, Ireland",The British Museum,circa 12th century,"Engraved, gold cross pendant with inset spherical glass fixture, to be worn around the neck.",-,Metalwork,jewelry ; art ; religion,Gold ; glass,2 cm x 4 cm,.JPG,© The Trustees of the British Museum. Shared under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) licence.,-,britleis03,pendant.jpg,image/jpeg
Citole,England,The British Museum,13th-14th century (circa 1280-1330),"Wooden string instrument engraved with a forest pattern, along with the a coat of arms.",-,Instrument,music ; woodwork ; art ; leisure,"Wood ; silver
",18.6 cm x 61 cm,.JPG,© The Trustees of the British Museum. Shared under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) licence.,-,britleis04,citole.jpg,image/jpeg
Beowulf manuscript page,England,The British Library,10th-11th century (circa 990-1035),Manuscript page from the Nowell Codex containing the opening lines of the Anglo-Saxon epic poem Beowulf.,"English, Old",Manuscript page,storytelling; manuscripts ; art ; leisure,Parchment,12 cm x 20.2 cm,.JPG,© The British Library. Shared under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) licence.,-,britleis05,beowulf.jpg,image/jpeg
Pilgrim badge,"Canterbury, England",The British Museum,14th century (circa 1325-1350),"Metal bell with engraved inscription, which marks it as a souvenir item given for visiting the shrine of St. Thomas Becket in Canterbury.",Latin,Toy,art ; religion ; travel ; metalwork,Lead,3.5 cm x 2.5 cm,.JPG,© The Trustees of the British Museum. Shared under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) licence.,-,britleis06,pilgrim.jpg,image/jpeg
Book cover,"Donabate, Ireland",The National Museum of Ireland,14th-15th century (circa 1300-1499),"Decorated book cover engraved with images of a family crest, a knight on horseback, a dragon, a griffin, and a group of men dancing. ",-,Book cover,art ; leisure,Whalebone,22.3 cm x 33.5 cm,.JPG,© National Museum of Ireland. Shared under a Creative Commons BY-SA 2.0 licence.,-,britleis07,book.jpg,image/jpeg
Misericord,"Gloucester, England",Gloucester Cathedral,14th century (circa 1350),Carving on the underside of a church folding seat which depicts two people playing ball.,-,Woodwork,art ; religion ; leisure ; sports,Wood,unknown,.JPG,Dominic Strange © www.misericords.co.uk. Shared under a Creative Commons Attribution-Share Alike 3.0 Unported,-,britleis08,misericord.jpg,image/jpeg
Knight toy,"London, England",London Museum,13th-14th century,Figurine of a knight on horseback.,-,Toy,art ; leisure,Pewter,4 cm x 5.3 cm,.JPG,© London Museum. Shared under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) licence.,-,britleis09,toy.jpg,image/jpeg
Faery Bagpipes,"Kinlochmoidart, Scotland",Museum of the Highlands,13th century,Set of bagpipes. The chanter is the only surviving piece from the original instrument.,-,Instrument,music ; leisure,Wood ; wool ; silver,58 cm x 59 cm,.JPG,© Museums and Heritage Highland.Shared under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) licence.,-,britleis10,bagpipes.jpg,image/jpeg
Case,England,The British Museum,11th century,"Case possibly meant to hold a pen, a small whistle, or something similarly-sized. Sliding lid features carvings of warriors fighting creatures. ",-,Woodwork,art ; leisure,Wood,23.2 cm x 3.3 cm,.JPG,© The Trustees of the British Museum. Shared under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) licence.,-,britleis11,case.jpg,image/jpeg
Harley manuscript page (Sumer is icumen in),England,The British Library,13th century,"Page from the Harley manuscript which contains sheet music and lyrics for the song 'Sumer is icumen in' ('Summer has come'), which was sung in a round.","English, Middle",Manuscript page,art ; music ; leisure ; manuscripts,Parchment,13 cm x 19 cm,.JPG,© The British Library. Shared under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) licence.,-,britleis12,harley.jpg,image/jpeg
Sumer is icumen in,England,-,-,"Recording of the sheet music from the Harley manuscript, titled 'Sumer is icumen in' ('Summer has come'). ",-,Audio,art ; music ; leisure,-,-,.OGG,© Wikimedia Commons. Shared under a Creative Commons Attribution-Share Alike 4.0 International license.,0:00:54,britleis13,sumer.ogg,audio/ogg
Floor tile,"Chertsey, England",The British Museum,13th century,"Tile depicting a scene from the tragic romance story of Tristam and Isolde. In the boat, Isolde is seen traveling to visit Tristam after he was banished to an island by Isolde's husband Mark. Unbeknownst to her, Tristram has died. This tile and others like it paved parts of the Chertsey Abbey.",-,Earthenware,art ; leisure ; storytelling ; pottery,Lead ceramic,24 cm x 24 cm,.JPG,© The Trustees of the British Museum. Shared under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) licence.,-,britleis14,tile.jpg,image/jpeg
Knight vessel,"Norfolk, England",The British Museum,13th century,Pouring vessel in the form of a mounted knight.,-,Earthenware,art ; pottery,Clay,22 cm x 27 cm,.JPG,© The Trustees of the British Museum. Shared under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) licence.,-,britleis15,vessel.jpg,image/jpeg